Institutional code,Name of Organisation,Country,City,coordinates
SK LIPTOV01,AKADÉMIA OZBROJENÝCH SÍL GENERÁLA MILANA RASTISLAVA ŠTEFÁNIKA,SK,LIPTOVSKÝ MIKULÁŠ,"(49.067103, 19.590598)"
SK NITRA01,UNIVERZITA KONSTANTINA FILOZOFA V NITRE,SK,Nitra,"(48.308376, 18.091441)"
SK NITRA02,SLOVENSKÁ POL'NOHOSPODÁRSKA UNIVERZITA V NITRE,SK,Nitra,"(48.307092, 18.0931469)"
SK PRESOV01,PRESOVSKA UNIVERZITA V PRESOVE,SK,Presov,"(48.99129019999999, 21.2329572)"
SK PRESOV02,VYSOKÁ ŠKOLA MEDZINÁRODNÉHO PODNIKANIA ISM SLOVAKIA V PREŠOVE,SK,PREŠOV,"(48.9932392, 21.2321613)"
SK RUZOMBE01,KATOLICKA UNIVERZITA V RUZOMBERKU,SK,RUŽOMBEROK,"(49.0793883, 19.2992225)"
SK SKALICA01,STREDOEURÓPSKA VYSOKÁ ŠKOLA V SKALICI,SK,SKALICA,"(48.84714719999999, 17.232719)"
SK SLADKOV01,VYSOKÁ ŠKOLA V SLÁDKOVIČOVE,SK,SLÁDKOVIČOVO,"(48.2027476, 17.6319968)"
SK TRENCIN01,TRENCIANSKA UNIVERZITA ALEXANDRA DUBCEKA V TRENCINE,SK,Trencin,"(48.898708, 18.047361)"
SK TRENCIN02,VYSOKA SKOLA MANAZMENTU V TRENCINE,SK,Trencin,"(48.87753319999999, 18.0315713)"
SK TRNAVA01,TRNAVSKÁ UNIVERZITA V TRNAVE,SK,TRNAVA,"(48.3795943, 17.5869495)"
SK TRNAVA02,UNIVERZITA SV. CYRILA A METODA V TRNAVA,SK,Trnava,"(48.3831075, 17.5887946)"
SK ZILINA01,ZILINSKA UNIVERZITA V ZILINE,SK,Zilina,"(49.2040671, 18.7548664)"
SK ZVOLEN01,TECHNICKA UNIVERZITA VO ZVOLENE,SK,ZVOLEN,"(48.5723721, 19.117315)"
TR ADANA01,CUKUROVA UNIVERSITESI,TR,ADANA,"(37.0540935, 35.3541051)"
TR ADIYAMA01,ADIYAMAN UNIVERSITESI,TR,ADIYAMAN,"(37.74388, 38.231283)"
TR AFYON01,AFYON KOCATEPE UNIVERSITESI,TR,Afyonkarahisar,"(38.8180452, 30.5344836)"
TR AGRI01,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,TR,MERKEZ,"(39.7219315, 42.9924428)"
TR AKSARAY01,AKSARAY ÜNİVERSİTESİ,TR,AKSARAY,"(38.3299938, 33.9831293)"
TR AMASYA01,AMASYA ÜNIVERSITESI,TR,SAMSUN,"(40.6498785, 35.7903879)"
TR ANKARA01,ANKARA UNIVERSITESI,TR,Ankara,"(39.934855, 32.8338615)"
TR ANKARA02,GAZI UNIVERSITY,TR,ANKARA,"(39.94202190000001, 32.823005)"
TR ANKARA03,HACETTEPE ÜNIVERSITESI,TR,Ankara,"(39.8705295, 32.7299184)"
TR ANKARA04,ORTA DOGU TEKNIK UNIVERSITESI,TR,Ankara,"(39.8910203, 32.7780027)"
TR ANKARA05,ATILIM UNIVERSITESI,TR,Ankara,"(39.8159752, 32.7244407)"
TR ANKARA06,BASKENT UNIVERSITESI,TR,ANKARA,"(39.8876842, 32.6543665)"
TR ANKARA07,BILKENT ÜNIVERSITESI,TR,ANKARA,"(39.8746147, 32.7475962)"
TR ANKARA08,ÇANKAYA  ÜNIVERSITESI,TR,ANKARA,"(39.9019999, 32.794948)"
TR ANKARA10,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,TR,Ankara,"(39.92130969999999, 32.7988233)"
TR ANKARA11,GULHANE ASKERI TIP AKADEMISI,TR,ANKARA,"(39.96642, 32.83915)"
TR ANKARA12,KARA HARP OKULU,TR,BAKANLIKLAR - ANKARA,"(39.9049724, 32.8397797)"
TR ANKARA13,POLIS AKADEMISI,TR,GÖLBASI/ANKARA,"(39.804477, 32.8384971)"
TR ANKARA14,TURGUT ÖZAL ÜNİVERSİTESİ,TR,ANKARA,"(39.9295608, 32.8163392)"
TR ANKARA15,YILDIRIM BEYAZIT UNIVERSITESI,TR,ANKARA,"(39.9720413, 32.8251377)"
TR ANKARA16,UNIVERSITY OF TURKISH AERONAUTICAL ASSOCIATION,TR,ANKARA,"(39.945546, 32.687084)"
TR ANKARA17,ALTIN KOZA UNIVERSITESI,TR,ANKARA,"(39.8569404, 32.8458059)"
TR ANKARA18,TED ÜNİVERSİTESİ,TR,ANKARA,"(39.923257, 32.861673)"
TR ANTALYA01,AKDENIZ UNIVERSITESI ,TR,Antalya,"(36.8945335, 30.655353)"
TR ARDAHAN01,ARDAHAN UNIVERSITESI,TR,ARDAHAN,"(41.1314376, 42.7803696)"
TR ARTVIN01,ARTVIN ÇORUH ÜNIVERSITESI,TR,ARTVIN,"(41.1984172, 41.8495734)"
TR AYDIN01,ADNAN MENDERES UNIVERSITESI,TR,AYDIN,"(37.8552535, 27.8587248)"
TR BALIKES01,BALIKESIR UNIVERSITESI,TR,Balikesir,"(39.541071, 28.008696)"
TR BARTIN01,BARTIN UNIVERSITESI,TR,BARTIN,"(41.6006658, 32.3458422)"
TR BATMAN01,BATMAN ÜNİVERSİTESİ,TR,BATMAN,"(37.7873005, 41.06279139999999)"
TR BAYBURT01,BAYBURT ÜNİVERSİTESİ,TR,BAYBURT,"(40.2501473, 40.2301473)"
TR BILECIK01,BİLECİK SEYH EDEBALI ÜNİVERSİTESİ,TR,BILECIK,"(40.188883, 29.968952)"
TR BINGOL01,BINGOL UNIVERSITESI,TR,MERKEZ,"(38.8983846, 40.4878521)"
TR BITLIS01,BITLIS EREN UNIVERSITESI,TR,BITLIS,"(38.47924769999999, 42.1632153)"
TR BOLU01,ABANT IZZET BAYSAL UNIVERSITESI,TR,BOLU,"(40.7143015, 31.5131639)"
TR BURDUR01,MEHMET AKIF ERSOY ÜNIVERSITESI,TR,BURDUR,"(37.6909366, 30.3431778)"
TR BURSA01,ULUDAĞ ÜNİVERSİTESİ,TR,BURSA,"(40.2251434, 28.877503)"
TR BURSA02,BURSA TEKNİK ÜNİVERSİTESİ,TR,"OSMANGAZI, BURSA","(40.1873928, 29.1300219)"
TR CANAKKA01,CANAKKALE ONSEKIZ MART ÜNIVERSITESI,TR,CANAKKALE,"(40.1118946, 26.4159959)"
TR CANKIRI01,CANKIRI KARATEKIN UNIVERSITESI,TR,CANKIRI,"(40.61814030000001, 33.6228597)"
TR CORUM01,HITIT ÜNIVERSITESI,TR,ÇORUM,"(40.570898, 34.981061)"
TR DENIZLI01,PAMUKKALE UNIVERSITESI,TR,Denizli,"(37.7381573, 29.1039378)"
TR DIYARBA01,DICLE UNIVERSITESI,TR,DIYARBAKIR,"(37.9203042, 40.2658239)"
TR DUZCE01,DUZCE UNIVERSITESI,TR,DUZCE,"(40.9038409, 31.1787756)"
TR EDIRNE01,TRAKYA ÜNIVERSITESI,TR,EDIRNE,"(41.64126419999999, 26.615635)"
TR ELAZIG01,T.C. FIRAT ÜNİVERSİTESİ,TR,ELAZIG,"(38.6777569, 39.2019556)"
TR ERZINCA01,ERZİNCAN ÜNİVERSİTESİ,TR,ERZINCAN,"(39.7583825, 39.5055744)"
TR ERZURUM01,ATATÜRK ÜNIVERSITESI,TR,ERZURUM,"(39.9012306, 41.2476604)"
TR ESKISEH01,ANADOLU UNIVERSITESI,TR,TEPEBASI,"(39.7917381, 30.4999502)"
TR ESKISEH02,ESKISEHIR OSMANGAZI ÜNIVERSITESI,TR,ESKISEHIR,"(39.750742, 30.4800437)"
TR GAZIANT01,GAZIANTEP UNIVERSITESI,TR,GAZIANTEP,"(37.0349074, 37.317347)"
TR GAZIANT02,ZIRVE UNIVERSITESI,TR,GAZIANTEP ,"(37.069984, 37.371937)"
TR GAZIANT03,HASAN KALYONCU ÜNIVERSITESI,TR,ŞAHINBEY ,"(37.0065266, 37.436535)"
